PHI,T,P,NH3,H2,CH4,LBV,REF NO
0.65,298,1,0,0.3,0.7,15.6,112
0.65,298,1,0,0.2,0.8,16.3,112
0.65,298,1,0.6,0.4,0,17.87,117
0.65,298,1,0,0.4,0.6,19.61,95
0.65,298,1,0,0.5,0.5,21.8,74
0.65,298,1,0.5,0.5,0,25.21,117
0.65,298,1,0,0.6,0.4,27.1,98
0.65,298,1,0,0.67,0.33,31.5,98
0.65,373,1,0,0.5,0.5,43.84,112
0.7,298,1,0,0,1,16.8,100
0.68,298,1,0.62,0.39,0,9.24,53
0.69,440,1,0,0.1,0.9,41.91,81
0.8,440,1,0,0.1,0.9,58.44,93
0.69,550,1,0,0.1,0.9,76.95,125
0.69,300,1,0,1,0,124.74,113
0.7,303,1,0,0.2,0.8,26.85,98
0.7,303,1,0,0.3,0.7,29.9,98
0.7,303,1,0,0.4,0.6,32.73,98
0.7,303,1,0,0.5,0.5,35,98
0.7,303,1,0,0.7,0.3,47.43,112
0.7,303,1,0,0.8,0.2,66.12,103
0.7,303,1,0,0.9,0.1,84.8,109
0.7,303,1,0,1,0,120.74,113
0.8,298,1,0,0,1,24.6,100
0.95,298,1,0,0,1,35,100
1.15,298,1,0,0,1,35.2,100
1.05,298,1,0,0,1,37.6,100
0.65,298,1,0,0,1,13.7,68
0.71,298,1,0,0,1,20.8,68
0.78,298,1,0,0,1,24.8,68
0.82,298,1,0,0,1,30.5,68
0.92,298,1,0,0,1,37.7,68
1.06,298,1,0,0,1,42.6,68
1.12,298,1,0,0,1,42.4,68
1.19,298,1,0,0,1,40.2,68
1.25,298,1,0,0,1,36.9,68
1.29,298,1,0,0,1,31.1,68
0.7,300,5,0.3,0.14,0.56,6.05,13
0.7,300,5,0.2,0.16,0.64,6.92,13
0.7,298,5,0.6,0.4,0,6.93,56
1.32,298,1,0,0,1,25.1,68
0.7,298,1,0.8,0.2,0,7.27,52
1.4,298,1,0,0,1,19.9,68
0.7,298,1,0.75,0.25,0,7.4,55
0.7,300,5,0.1,0.18,0.72,8.16,13
1.45,298,1,0,0,1,14.8,68
0.7,298,3,0.6,0.4,0,9.01,56
1.5,298,1,0,0,1,12.1,68
0.7,298,1,0.8,0.2,0,10.78,117
0.7,298,1,0.7,0.3,0,11.02,62
0.7,298,1,0.65,0.35,0,11.1,55
1.1,298,1,0,0,1,38.1,85
1.7,298,1,0,0,1,6.4,95
0.7,298,1,0.6,0.4,0,13,55
0.8,298,1,0,0,1,20.5,95
1.4,298,1,0,0,1,20.6,95
0.7,300,1,0.3,0.14,0.56,14.34,13
0.75,298,1,0,0,1,20.9,95
0.7,360,1,0.7,0.3,0,14.66,62
0.55,298,1,0,0,1,4.9,106
0.7,298,1,0,0.2,0.8,15.47,112
0.7,298,1,0,0.2,0.8,15.54,112
0.7,298,1,0,0.05,0.95,15.9,112
0.6,298,1,0,0,1,8.8,106
0.7,298,1,0.6,0.4,0,16.1,56
0.7,300,1,0.2,0.16,0.64,16.14,13
0.7,298,1,0.7,0.3,0,16.32,117
1.3,298,1,0,0,1,23.1,97
0.7,298,1,0,0.1,0.9,18.7,90
0.7,298,1,0,0.2,0.8,18.7,90
0.7,298,1,0,0.1,0.9,18.86,90
0.7,298,1,0,0.3,0.7,18.91,90
0.7,298,3,0.4,0.6,0,19.3,56
0.7,295,1,0,0.2,0.8,19.4,90
0.7,298,1,0,0.15,0.85,19.44,111
0.7,300,1,0.1,0.18,0.72,19.7,13
0.67,298,1,0,0,1,14.4,64
0.7,300,1,0,0.1,0.9,19.84,125
0.7,298,1,0,0.3,0.7,20.5,95
1.34,298,1,0,0,1,19.7,64
0.7,298,1,0,0.4,0.6,20.7,95
0.7,298,1,0.6,0.4,0,20.83,117
0.7,300,1,0,0.2,0.8,21.02,95
0.7,298,1,0,0.35,0.65,21.24,110
0.7,373,1,0,0.1,0.9,21.24,110
0.7,298,1,0,0.2,0.8,21.32,110
0.7,300,1,0,0.2,0.8,21.34,125
1.06,298,1,0,0,1,36.2,64
0.77,298,1,0,0,1,22.9,64
0.7,300,1,0,0.3,0.7,22.47,125
0.7,298,1,0,0.35,0.65,22.71,74
0.7,298,1,0,0.3,0.7,22.82,74
0.7,298,1,0,0.1,0.9,23,97
0.7,423,1,0.7,0.3,0,23.08,62
1.26,298,1,0,0,1,29.7,64
0.7,298,1,0,0.4,0.6,24,110
0.7,298,1,0,0.4,0.6,24.45,87
0.7,298,1,0,0.35,0.65,24.61,87
0.97,298,1,0,0,1,33,64
0.7,298,1,0,0.4,0.6,25.39,82
0.7,300,1,0,0.4,0.6,26,125
0.7,328,1,0,0.2,0.8,26.69,98
0.7,298,1,0.5,0.5,0,27.2,52
0.7,360,1,0,0.1,0.9,27.41,98
0.7,298,1,0.5,0.5,0,27.78,117
0.7,298,1,0,0.5,0.5,27.9,98
0.7,298,1,0,0.2,0.8,28,98
0.7,298,1,0,0.5,0.5,28.6,98
0.7,298,1,0.5,0.5,0,29.7,91
0.7,300,1,0,0.5,0.5,29.87,98
0.7,360,1,0,0.2,0.8,30.22,98
0.7,298,1,0,0.5,0.5,30.31,98
0.7,340,1,0,0.2,0.8,30.32,98
0.7,300,1,0,0.5,0.5,30.41,98
0.7,300,1,0,0.5,0.5,30.94,125
0.7,473,1,0,0.1,0.9,31.73,98
0.7,298,1,0.4,0.6,0,32.6,56
1.15,298,1,0,0,1,34.2,64
0.7,298,1,0,0.3,0.7,33,98
0.7,358,1,0,0.2,0.8,33.95,98
0.7,298,1,0,0.6,0.4,34.7,98
0.7,303,1,0,0.5,0.5,35.3,74
0.7,380.16,1,0,0.2,0.8,38.49,119
0.7,360,1,0,0.5,0.5,40.64,101
0.7,298,1,0,0.67,0.33,40.9,112
0.7,360,1,0,0.5,0.5,42.24,83
0.7,399.46,1,0,0.2,0.8,42.67,83
0.7,445,1,0.1,0.18,0.72,46.54,14
0.7,475,1,0.2,0.16,0.64,46.81,14
0.7,420.11,1,0,0.2,0.8,47.58,112
0.7,373,1,0,0.5,0.5,51.43,88
0.7,466,1,0.1,0.18,0.72,51.78,14
0.7,497,1,0.2,0.16,0.64,51.97,14
0.7,520,1,0.3,0.14,0.56,52.33,14
0.7,473,1,0.1,0.18,0.72,53.78,14
0.7,298,1,0,0,1,18.2,99
0.7,519,1,0.2,0.16,0.64,57.66,14
0.7,493,1,0.1,0.18,0.72,59.03,14
0.7,550,1,0.3,0.14,0.56,59.54,13
0.7,556,1,0.3,0.14,0.56,60.96,14
0.7,500,1,0.1,0.18,0.72,61.37,14
0.7,542,1,0.2,0.16,0.64,63.67,14
0.7,750,5,0.3,0.14,0.56,65.18,13
0.7,573,1,0.3,0.14,0.56,65.57,14
0.7,517,1,0.1,0.18,0.72,66.19,14
0.75,298,1,0,0,1,23.4,99
0.7,298,1,0.2,0.8,0,67.9,52
0.7,573,1,0,0.1,0.9,69.43,107
0.7,564,1,0.2,0.16,0.64,69.74,14
0.7,531,1,0.1,0.18,0.72,70.39,14
0.9,440,1,0,0.1,0.9,71.61,93
0.7,440,1,0,0.5,0.5,71.56,109
0.7,595,1,0.3,0.14,0.56,71.7,14
0.7,537,1,0.1,0.18,0.72,71.88,14
0.7,750,5,0.2,0.16,0.64,73.1,13
0.7,544,1,0.1,0.18,0.72,74.44,14
0.7,589,1,0.2,0.16,0.64,76.88,14
0.7,614,1,0.3,0.14,0.56,77.14,14
0.7,553,1,0.1,0.18,0.72,77.17,14
0.7,570,1,0.1,0.18,0.72,82.7,14
0.7,608,1,0.2,0.16,0.64,82.95,14
0.7,750,5,0.1,0.18,0.72,83,13
0.7,550,1,0,0.2,0.8,84.99,125
0.7,585,1,0.1,0.18,0.72,88.57,14
0.7,627,1,0.2,0.16,0.64,89.15,14
0.7,655,1,0.3,0.14,0.56,89.94,14
0.7,602,1,0.1,0.18,0.72,94.91,14
0.7,550,1,0,0.4,0.6,95.71,125
0.7,648,1,0.2,0.16,0.64,95.78,14
0.7,679,1,0.3,0.14,0.56,97.79,14
0.7,680,1,0.3,0.14,0.56,98.05,14
0.7,616,1,0.1,0.18,0.72,99.71,14
0.7,667,1,0.2,0.16,0.64,102.87,14
0.7,631,1,0.1,0.18,0.72,105.33,14
0.7,683,1,0.2,0.16,0.64,108.33,14
0.7,719,1,0.3,0.14,0.56,111.58,14
0.7,550,1,0,0.5,0.5,112.47,125
0.7,702,1,0.2,0.16,0.64,115.7,14
0.7,737,1,0.3,0.14,0.56,118.34,14
0.7,717,1,0.2,0.16,0.64,121.26,14
0.7,724,1,0.2,0.16,0.64,123.77,14
0.7,298,1,0,1,0,124.4,79
0.7,750,1,0.3,0.14,0.56,124.58,13
0.7,298,1,0,1,0,125,91
0.7,756,1,0.3,0.14,0.56,125.36,14
0.7,298,5,0,1,0,129,63
0.7,750,1,0.2,0.16,0.64,136.75,13
0.7,298,1,0,1,0,144,73
0.7,750,1,0.1,0.18,0.72,152.31,13
0.7,450,1,0,0.9,0.1,182.24,100
0.7,450,1,0,0.9,0.1,184.6,100
0.7,373,5,0,1,0,218,79
0.81,298,1,0,0,1,26,99
1.25,298,1,0,0,1,28.6,99
0.86,298,1,0,0,1,29.6,99
0.95,298,1,0,0,1,35.6,99
1.05,298,1,0,0,1,36.4,99
0.75,298,1,0,0,1,19.5,111
0.8,298,1,0,0,1,25.8,87
1.5,298,1,0,0,1,13,86
0.85,298,1,0,1,0,221.2,113
0.9,298,1,0,1,0,261.6,113
1,298,1,0,1,0,282.8,113
1.1,298,1,0,1,0,283.5,113
1.2,298,1,0,1,0,291.7,113
1.4,298,1,0,1,0,323.8,113
1.6,298,1,0,1,0,336.1,113
0.8,298,1,0,0,1,27.9,73
0.9,298,1,0,0,1,35.6,73
1.2,298,1,0,0,1,37.2,73
1,298,1,0,0,1,40.3,73
1.1,298,1,0,0,1,41,73
0.71,298,1,0.55,0.46,0,16.3,53
0.75,298,1,0,0,1,21.6,74
0.71,550,1,0,0.3,0.7,90.35,125
0.71,298,1,0,1,0,105,71
0.72,298,1,0.67,0.33,0,7.23,53
0.8,298,1,0,0,1,22.2,74
0.73,298,1,0.46,0.55,0,28.9,53
1.35,298,1,0,0,1,22.7,74
0.73,373,1,0,0.5,0.5,54.24,96
0.74,298,1,0.4,0.6,0,41.8,53
0.95,298,1,0,0,1,35.1,74
1.2,298,1,0,0,1,36.1,74
1,298,1,0,0,1,36.1,74
0.75,298,1,0.62,0.39,0,12.3,53
0.75,298,1,0.85,0.15,0,5.97,55
0.75,298,1,0.75,0.25,0,8.87,55
0.75,298,1,0.8,0.2,0,11.97,117
0.75,298,1,0.65,0.35,0,13.4,55
1.1,298,1,0,0,1,36.3,74
0.75,298,1,0.6,0.4,0,15.8,55
0.75,298,1,0.7,0.3,0,17.14,117
1.15,298,1,0,0,1,36.6,74
0.75,298,1,0,0.05,0.95,20.2,95
1.05,298,1,0,0,1,37,74
0.6,298,1,0,0,1,7.7,112
0.75,298,1,0,0.05,0.95,21.3,110
1.6,298,1,0,0,1,7.7,112
0.75,298,1,0,0.05,0.95,22.24,74
1.5,298,1,0,0,1,9.6,112
0.75,298,1,0,0.1,0.9,23.4,94
0.75,298,1,0,0.2,0.8,23.4,94
0.65,298,1,0,0,1,12.1,112
0.75,298,1,0,0.1,0.9,23.78,94
0.75,298,1,0,0.15,0.85,24.04,110
0.75,298,1,0.6,0.4,0,24.04,117
0.75,298,1,0,0.2,0.8,25.92,98
0.75,298,1,0,0.35,0.65,26.06,98
0.75,298,1,0,0.3,0.7,26.2,98
0.75,298,1,0,0.3,0.7,27.95,98
0.75,298,1,0,0.35,0.65,29.43,98
0.75,298,1,0,0.4,0.6,29.7,98
0.75,298,1,0,0.4,0.6,31.06,98
0.75,298,1,0.5,0.5,0,31.35,117
0.75,298,1,0,0.5,0.5,34.4,98
0.75,298,1,0,0.6,0.4,41.9,81
0.75,298,1,0,0.67,0.33,50.2,88
0.75,373,1,0,0.5,0.5,58.74,103
0.75,298,1,0,1,0,125,63
0.75,298,2,0,1,0,125,70
0.75,298,4,0,1,0,130,70
0.75,298,1,0,1,0,134,70
0.75,298,3,0,1,0,135,70
0.7,298,1,0,0,1,14.5,112
1.4,298,1,0,0,1,14.8,112
1.45,298,1,0,0,1,15,112
0.7,298,1,0,0,1,15.3,112
1.35,298,1,0,0,1,19,112
0.75,298,1,0,0,1,21.1,112
0.85,298,1,0,0,1,29.8,112
1.05,298,1,0,0,1,37.5,112
0.76,298,1,0.64,0.2,0.16,13.54,15
0.8,298,1,0,0,1,23.9,110
1.3,298,1,0,0,1,24.1,110
0.76,298,1,0.48,0.2,0.32,18.67,15
1.35,298,1,0,0,1,18.7,90
0.76,298,1,0.5,0.5,0,20.7,53
0.76,298,1,0.48,0.4,0.12,22.95,15
0.76,298,1,0.32,0.2,0.48,23.77,15
0.76,298,1,0.36,0.4,0.24,27.26,15
0.76,298,1,0.16,0.2,0.64,28.82,15
0.76,298,1,0.24,0.4,0.36,31.75,15
0.76,298,1,0.12,0.4,0.48,36.16,15
0.76,298,1,0,1,0,144,77
1.7,298,1,0,0,1,6.8,98
1.6,298,1,0,0,1,9.2,98
0.78,298,1,0,1,0,149,76
1.5,298,1,0,0,1,13.5,98
0.7,298,1,0,0,1,15.1,98
1.4,298,1,0,0,1,20.2,98
0.8,298,1,0,0,1,26.2,98
0.78,373,1,0,0.5,0.5,64.64,103
0.9,298,1,0,0,1,27.7,98
0.78,298,1,0.55,0.46,0,20.5,53
0.85,298,1,0,0,1,27.7,98
0.79,298,1,0.4,0.6,0,49.8,53
1.3,298,1,0,0,1,29.5,98
0.85,298,1,0,0,1,29.7,98
1,298,1,0,0,1,30.9,98
0.79,373,1,0,0.5,0.5,68.85,107
0.79,550,1,0,0.1,0.9,94.34,125
0.8,303,1,0,0.2,0.8,33.77,98
0.8,303,1,0,0.3,0.7,37.27,74
0.8,303,1,0,0.4,0.6,40.53,112
0.8,303,1,0,0.5,0.5,44.21,112
0.8,303,1,0,0.7,0.3,61.81,103
0.8,303,1,0,0.8,0.2,84.09,109
0.8,303,1,0,0.9,0.1,114.27,113
0.8,303,1,0,1,0,154.52,100
1.25,298,1,0,0,1,33.2,98
1.2,298,1,0,0,1,34.5,98
0.95,298,1,0,0,1,34.8,98
1.1,298,1,0,0,1,37.8,98
1.35,298,1,0,0,1,25,81
0.8,298,1,0,0,1,25.1,81
1.5,298,1,0,0,1,11.4,108
0.65,298,1,0,0,1,11.9,108
1.45,298,1,0,0,1,12.9,108
0.7,298,1,0,0,1,16,40
0.8,298,3,0,0,1,13.4,83
0.8,300,1,0,0,1,25.8,82
0.7,300,1,0,0,1,19.7,125
1.3,300,1,0,0,1,24.9,125
0.8,300,1,0,0,1,28.4,125
1.2,300,1,0,0,1,33.5,125
0.9,300,1,0,0,1,34.4,125
1,300,1,0,0,1,38.7,125
1.1,300,1,0,0,1,38.8,125
1.3,303,1,0,0,1,20.4,95
0.7,303,1,0,0,1,20.7,95
0.8,298,1,0.95,0.05,0,4.8,57
0.8,323,1,0.95,0.05,0,5.35,57
0.8,298,5,0.8,0.2,0,5.48,121
0.8,298,5,0.7,0.3,0,5.73,60
1,298,5,0,0,1,22.2,74
0.8,303,1,0,0,1,27.2,98
0.9,303,1,0,0,1,32,98
1.2,303,1,0,0,1,32.6,98
0.8,298,1,0.9,0.1,0,6.24,118
0.6,303,1,0,0,1,12,108
0.8,298,3,0.8,0.2,0,6.44,121
0.8,307,1,0,0,1,27.8,98
