PHI,T,P,NH3,H2,CH4,LBV,REF NO
1.1,373,1,0.7,0.3,0,32.2,57
1.1,298,1,0.6,0.4,0,33.22,118
1.1,300,1,0.2,0.16,0.64,33.72,13
1.1,298,5,0.6,0,0.4,6.23,119
1.1,473,1,0.8,0.2,0,35.6,17
1.1,298,3,0.6,0,0.4,9.41,119
1.1,298,2,0.5,0.5,0,36.4,59
1.1,298,1,0.6,0,0.4,14.06,119
1.1,443,1,0.7,0.3,0,37,60
1.1,298,1,0.6,0,0.4,15.7,120
1.12,298,1,0.6,0,0.4,15.92,15
1.14,298,1,0.6,0,0.4,14.14,46
1.16,298,1,0.6,0,0.4,14.31,46
1.2,298,1,0.6,0,0.4,12.61,15
1.2,298,1,0.6,0,0.4,12.29,46
1.1,323,1,0.6,0.4,0,38.1,57
1.2,298,1,0.6,0,0.4,12.5,46
1.1,298,1,0,0.05,0.95,38.48,119
1.1,423,1,0.7,0.3,0,38.75,62
1.1,300,1,0,0.08,0.92,39.15,84
1.1,298,1,0,0.05,0.95,39.4,112
1.1,300,1,0,0.1,0.9,39.41,125
1.1,300,1,0.1,0.18,0.72,39.45,13
1.2,298,1,0.6,0,0.4,15.6,118
1.1,298,1,0,0.1,0.9,40,112
1.1,298,1.5,0.5,0.5,0,40.5,59
1.1,298,1,0,0.15,0.85,40.72,112
1.1,298,1,0,0.2,0.8,40.86,112
1.2,298,5,0.6,0,0.4,4.35,119
1.1,298,1,0,0.05,0.95,41,112
1.1,303,1,0,0.1,0.9,41.1,112
1.1,423,1,0.7,0.3,0,41.5,57
1.1,300,1,0,0.14,0.86,41.85,81
1.2,298,3,0.6,0,0.4,7.21,119
1.1,325,1,0.1,0.18,0.72,43.75,14
1.1,298,1,0,0.2,0.8,43.75,112
1.1,300,1,0,0.2,0.8,43.83,101
1.1,300,1,0,0.2,0.8,44.09,125
1.1,298,1,0,0.2,0.8,44.28,15
1.1,300,1,0,0.2,0.8,45.03,101
1.1,298,1,0.5,0.5,0,45.1,52
1.1,373,1,0.6,0.4,0,45.1,57
1.1,298,1,0,0.1,0.9,45.5,112
1.1,298,1,0,0.2,0.8,45.5,112
1.1,298,1,0.5,0.5,0,45.6,59
1.1,300,1,0,0.25,0.75,45.89,101
1.1,298,1,0.5,0.5,0,46.9,57
1.1,300,1,0,0.3,0.7,47.2,125
1.1,298,3,0.4,0.6,0,47.6,56
1.1,298,1,0.5,0.5,0,48.27,118
1.1,298,1,0,0.3,0.7,48.46,112
1.1,350,1,0.1,0.18,0.72,49.28,14
1.2,298,1,0.6,0,0.4,10.1,119
1.1,298,1,0,0.35,0.65,49.73,112
1.1,473,1,0.7,0.3,0,49.9,17
1.1,473,1,0.7,0.3,0,50,57
1.1,298,1,0,0.3,0.7,50.5,88
1.1,300,1,0,0.4,0.6,50.57,125
1.2,298,1,0.6,0,0.4,12.6,120
1.1,363,1,0.1,0.18,0.72,52.43,14
1.1,360,1,0,0.1,0.9,52.6,96
1.24,298,1,0.6,0,0.4,12.79,15
1.1,323,1,0.5,0.5,0,53.5,57
1.1,298,1,0,0.4,0.6,53.54,96
1.1,298,1,0,0.4,0.6,54.24,96
1.1,360,1,0,0.1,0.9,54.4,96
1.1,328,1,0,0.2,0.8,54.83,96
1.1,381,1,0.1,0.18,0.72,57.52,14
1.1,298,1,0,0.4,0.6,59.08,15
1.1,300,1,0,0.5,0.5,59.21,125
1.1,360,1,0,0.2,0.8,59.62,103
1.1,423,1,0.6,0.4,0,60.1,57
1.1,360,1,0,0.2,0.8,60.62,103
1.1,340,1,0,0.2,0.8,60.66,103
1.1,300,1,0,0.5,0.5,61.29,103
1.1,300,1,0,0.5,0.5,61.35,103
1.1,298,1,0,0.5,0.5,61.37,103
1.1,397,1,0.1,0.18,0.72,61.94,14
1.1,473,1,0.1,0.18,0.72,63.81,14
1.1,303,1,0,0.5,0.5,64.55,103
1.1,298,1,0.4,0.6,0,65.6,56
1.1,360,1,0,0.2,0.8,66.66,106
1.1,298,1,0,0.5,0.5,67,106
1.1,298,1,0,0.5,0.5,67.36,105
1.1,373,1,0.5,0.5,0,67.4,57
1.1,473,1,0.6,0.4,0,69.5,57
1.1,424,1,0.1,0.18,0.72,69.64,14
1.1,298,1,0.4,0.6,0,70.25,118
1.1,298,1,0.4,0.6,0,70.3,57
1.24,298,1,0.6,0,0.4,10.56,46
1.1,485,1,0.3,0.14,0.56,70.35,14
1.1,459,1,0.2,0.16,0.64,72.39,14
1.1,379.89,1,0,0.2,0.8,72.85,109
1.1,437,1,0.1,0.18,0.72,73.82,14
1.1,440,1,0,0.5,0.5,125.95,93
1.1,447,1,0.1,0.18,0.72,76.46,14
1.1,508,1,0.3,0.14,0.56,76.47,14
1.1,450,1,0.1,0.18,0.72,77.39,14
1.1,323,1,0.4,0.6,0,79,57
1.1,360,1,0,0.5,0.5,79.26,109
1.1,484,1,0.2,0.16,0.64,79.51,14
1.1,400,1,0,0.2,0.8,79.77,109
1.1,423,1,0.5,0.5,0,80.3,57
1.1,298,1,0,0.6,0.4,80.5,109
1.1,360,1,0,0.5,0.5,80.86,109
1.2,440,1,0,0.5,0.5,122.77,93
1.1,440,1,0,0.1,0.9,81.14,109
1.1,468,1,0.1,0.18,0.72,83.34,14
1.1,501,1,0.2,0.16,0.64,84.65,14
1.1,541,1,0.3,0.14,0.56,85.7,14
1.1,420.11,1,0,0.2,0.8,86.88,109
1.1,487,1,0.1,0.18,0.72,89.12,14
1.1,565,1,0.3,0.14,0.56,93.08,14
1.1,528,1,0.2,0.16,0.64,93.12,14
1.1,373,1,0.4,0.6,0,93.3,57
1.1,440.22,1,0,0.2,0.8,93.61,109
1.1,570,1,0.3,0.14,0.56,93.79,14
1.1,505,1,0.1,0.18,0.72,95.4,14
1.1,298,1,0,0.67,0.33,95.6,113
1.1,588,1,0.3,0.14,0.56,99.34,14
1.1,750,5,0.3,0.14,0.56,99.69,13
1.1,519,1,0.1,0.18,0.72,99.9,14
1.1,550,1,0.2,0.16,0.64,100.07,13
1.1,473,1,0.5,0.5,0,101,57
1.26,298,1,0.6,0,0.4,10.93,46
1.1,564,1,0.2,0.16,0.64,104.74,14
1.1,534,1,0.1,0.18,0.72,105.23,14
1.1,575,1,0.2,0.16,0.64,108.8,14
1.1,620,1,0.3,0.14,0.56,109.08,14
1.1,750,5,0.2,0.16,0.64,113.27,13
1.1,590,1,0.2,0.16,0.64,113.58,14
1.1,550,1,0.1,0.18,0.72,114.09,13
1.1,640,1,0.3,0.14,0.56,115.4,14
1.1,645,1,0.3,0.14,0.56,115.94,14
1.1,423,1,0.4,0.6,0,116,57
1.1,603,1,0.2,0.16,0.64,118.85,14
1.1,655,1,0.3,0.14,0.56,119.17,14
1.1,623,1,0.2,0.16,0.64,125.52,14
1.3,440,1,0,0.5,0.5,103.54,93
1.1,440,1,0,0.5,0.5,125.95,113
1.1,675,1,0.3,0.14,0.56,126.99,14
1.1,631,1,0.2,0.16,0.64,127.92,14
1.1,550,1,0,0.2,0.8,128.06,125
1.1,750,5,0.1,0.18,0.72,128.26,13
1.1,682,1,0.3,0.14,0.56,129.04,14
1.1,635,1,0.2,0.16,0.64,129.46,14
1.1,685,1,0.3,0.14,0.56,130.08,14
1.1,644,1,0.2,0.16,0.64,132.88,14
1.1,298,1,0.2,0.8,0,136,52
1.1,653,1,0.2,0.16,0.64,136.26,14
1.1,705,1,0.3,0.14,0.56,136.96,14
1.1,298,1,0.2,0.8,0,139.63,118
1.1,473,1,0.4,0.6,0,140,57
1.1,731,1,0.3,0.14,0.56,146.1,14
1.1,550,1,0,0.4,0.6,151.19,125
1.1,750,1,0.3,0.14,0.56,153.72,13
1.1,750,1,0.3,0.14,0.56,154,13
1.1,750,1,0.2,0.16,0.64,175.22,13
1.1,550,1,0,0.5,0.5,175.32,125
1.1,750,1,0.1,0.18,0.72,195.3,13
1.1,300,1,0,1,0,236.45,100
1.1,298,1,0,1,0,236.7,79
1.1,298,1,0,1,0,245,73
1.1,298,1,0,1,0,283.49,95
1.3,298,1,0.6,0,0.4,9.01,46
1.1,450,1,0,0.9,0.1,313.16,74
1.1,450,1,0,0.9,0.1,317.68,74
1.1,373,5,0,1,0,389,79
1.1,443,5,0,1,0,498,79
1.1,303,1,0,0.2,0.8,43.92,112
1.1,303,1,0,0.3,0.7,54.13,96
1.1,303,1,0,0.4,0.6,58.95,103
1.1,303,1,0,0.5,0.5,64.05,103
1.1,303,1,0,0.6,0.4,86.24,109
1.1,303,1,0,0.7,0.3,94.15,109
1.1,303,1,0,0.8,0.2,129.36,113
1.1,303,1,0,0.9,0.1,173.2,100
1.1,303,1,0,1,0,230.7,100
1.11,550,1,0,0.3,0.7,136.43,125
1.3,298,1,0.6,0,0.4,9.28,46
1.3,298,5,0.6,0,0.4,1.93,119
1.3,298,3,0.6,0,0.4,4.31,119
1.12,298,1,0.64,0.2,0.16,19.43,15
1.3,298,1,0.6,0,0.4,7.14,119
1.12,298,1,0.48,0.2,0.32,25.66,15
1.3,298,1,0.6,0,0.4,9,120
1.12,298,1,0.32,0.2,0.48,31.88,15
1.12,298,1,0.48,0.4,0.12,35.04,15
1.12,298,1,0.16,0.2,0.64,37.99,15
1.12,298,1,0.36,0.4,0.24,41.35,15
1.34,298,1,0.6,0,0.4,7.85,46
1.12,298,1,0.24,0.4,0.36,47.19,15
1.12,298,1,0.12,0.4,0.48,52.99,15
1.36,298,1,0.6,0,0.4,8.11,46
1.13,298,1,0.67,0.33,0,16.7,53
1.13,373,1,0,0.5,0.5,102.01,113
1.14,298,1,0.55,0.46,0,28.7,53
1.14,298,1,0.5,0.5,0,47.2,53
1.14,298,1,0.46,0.55,0,59.3,53
1.14,298,1,0.4,0.6,0,80.6,53
1.4,298,1,0.6,0,0.4,5.13,119
1.4,298,1,0.6,0,0.4,6.86,46
1.4,298,1,0.6,0,0.4,7.24,46
1.44,298,1,0.6,0,0.4,6.04,46
1.44,298,1,0.6,0,0.4,6.3,46
1.5,298,1,0.6,0,0.4,5.92,46
1.15,298,1,0.85,0.15,0,10.6,55
1.15,298,5,0.6,0.4,0,14.8,56
1.15,298,1,0.75,0.25,0,15,55
1.15,298,1,0.67,0.33,0,16.5,53
1.15,298,3,0.6,0.4,0,18.9,56
1.15,298,1,0.65,0.35,0,22.8,55
1.15,298,1,0.62,0.39,0,23.5,53
1,298,1,0.65,0,0.35,15.16,46
1.15,298,1,0.6,0.4,0,28.5,55
1.15,298,1,0.6,0.4,0,29.5,56
1,298,1,0.7,0,0.3,13.81,46
1,298,1,0.7,0,0.3,12.9,123
1.15,300,1,0,0.08,0.92,37.14,74
1.15,298,1,0,0.05,0.95,37.57,74
1.15,298,1,0,0.1,0.9,39.14,84
1.15,298,1,0,0.15,0.85,39.93,112
1,298,1,0.75,0,0.25,12.38,46
1.15,298,1,0,0.05,0.95,40.5,112
1.15,300,1,0,0.2,0.8,40.95,101
1.15,300,1,0,0.25,0.75,42.62,83
1.15,298,1,0,0.2,0.8,43.1,112
1.15,298,1,0,0.1,0.9,45.1,112
1.15,298,1,0,0.2,0.8,45.1,112
1.15,298,1,0,0.35,0.65,45.77,112
1.15,298,3,0.4,0.6,0,47.2,56
1.15,298,1,0,0.3,0.7,47.28,112
0.7,298,1,0.8,0,0.2,12.09,118
1.15,298,1,0,0.3,0.7,50.5,88
1.15,298,1,0,0.35,0.65,50.83,88
1.15,298,1,0,0.4,0.6,53.17,96
1.15,298,1,0.4,0.6,0,65.4,56
1.15,298,1,0,0.5,0.5,67,106
1.15,298,1,0,0.6,0.4,81.1,109
1.15,298,1,0,0.67,0.33,96.3,113
0.74,298,1,0.8,0,0.2,5.9,46
0.76,298,1,0.8,0,0.2,7.84,15
0.76,298,1,0.8,0,0.2,6.02,46
0.8,298,1,0.8,0,0.2,7.54,15
0.8,298,1,0.8,0,0.2,7.54,46
0.8,298,1,0.8,0,0.2,7.61,46
0.8,298,1,0.8,0,0.2,18.66,118
0.84,298,1,0.8,0,0.2,8.77,46
1.17,373,1,0,0.5,0.5,98.64,113
0.84,298,1,0.8,0,0.2,8.8,46
1.18,298,1,0.4,0.6,0,79.2,53
0.88,298,1,0.8,0,0.2,9.97,15
1.19,298,1,0.46,0.55,0,57.5,53
1.19,550,1,0,0.1,0.9,108.24,125
1.19,298,1,0,1,0,242,77
0.9,298,1,0.8,0,0.2,10.01,15
1.2,303,1,0,0.2,0.8,38.64,119
1.2,303,1,0,0.3,0.7,48.6,112
1.2,303,1,0,0.4,0.6,54.27,96
1.2,303,1,0,0.5,0.5,63.77,103
1.2,303,1,0,0.6,0.4,83.37,109
1.2,303,1,0,0.7,0.3,94.15,109
1.2,303,1,0,0.8,0.2,135.11,113
1.2,303,1,0,0.9,0.1,185.42,100
1.2,303,1,0,1,0,251.54,100
0.9,298,1,0.8,0,0.2,9.83,46
0.9,298,1,0.8,0,0.2,9.92,46
0.9,298,1,0.8,0,0.2,24.42,118
0.96,298,1,0.8,0,0.2,10.49,46
0.96,298,1,0.8,0,0.2,10.51,46
1,298,1,0.8,0,0.2,11.19,15
1,298,1,0.8,0,0.2,11.21,15
1,298,1,0.8,0,0.2,11.02,46
1,298,1,0.8,0,0.2,11.03,46
1,298,1,0.8,0,0.2,11.07,46
1,298,1,0.8,0,0.2,28.37,118
1.04,298,1,0.8,0,0.2,10.98,46
1.2,298,5,0.8,0.2,0,7,121
1.04,298,1,0.8,0,0.2,11.01,46
1.1,298,1,0.8,0,0.2,10.6,15
1.1,298,1,0.8,0,0.2,10.28,46
1.2,298,5,0.7,0.3,0,8.24,60
1.1,298,1,0.8,0,0.2,10.41,46
1.1,298,1,0.8,0,0.2,26.62,118
1.12,298,1,0.8,0,0.2,10.43,15
1.14,298,1,0.8,0,0.2,9.37,46
1.2,298,1,0.95,0.05,0,8.81,57
1.16,298,1,0.8,0,0.2,9.34,46
1.2,298,3,0.8,0.2,0,8.94,121
1.2,298,1,0.8,0,0.2,8.9,15
1.2,298,1,0.8,0,0.2,8.36,46
1.2,298,1,0.8,0,0.2,8.38,46
1.2,323,1,0.95,0.05,0,9.9,57
1.2,298,1,0.85,0.15,0,10,55
1.2,343,5,0.7,0.3,0,10.1,60
1.2,298,1,0.8,0,0.2,22.37,118
1.2,343,5,0.7,0.3,0,10.2,60
1.24,298,1,0.8,0,0.2,8.68,15
1.2,298,1,0.9,0.1,0,10.42,118
1.24,298,1,0.8,0,0.2,7.43,46
1.24,298,1,0.8,0,0.2,7.7,46
1.2,298,3,0.7,0.3,0,11.4,60
1.3,298,1,0.8,0,0.2,6.7,46
1.3,298,1,0.8,0,0.2,6.8,46
1.34,298,1,0.8,0,0.2,6.05,46
1.2,300,5,0.3,0.14,0.56,11.78,13
1.34,298,1,0.8,0,0.2,6.15,46
1.2,298,1,0.8,0.2,0,12.08,15
1.4,298,1,0.8,0,0.2,5.23,46
1.4,298,1,0.8,0,0.2,5.25,46
1,298,1,0.85,0,0.15,9.44,46
1.2,298,1,0.8,0.2,0,12.66,121
1.2,393,5,0.7,0.3,0,12.9,60
1.2,393,5,0.7,0.3,0,13.1,60
1.2,300,5,0.2,0.16,0.64,13.21,13
1.2,373,1,0.95,0.05,0,13.4,57
1,298,1,0.9,0,0.1,8.33,46
1.2,298,5,0.6,0.4,0,13.8,58
1.2,298,5,0.6,0.4,0,13.9,56
1.2,343,3,0.7,0.3,0,14,60
1.2,298,1,0.75,0.25,0,14.1,55
1,298,1,0.95,0,0.05,6.98,46
0.7,298,3,1,0,0,1.74,124
0.72,298,1,1,0,0,3.15,42
0.73,298,1,1,0,0,2.88,41
0.78,298,1,1,0,0,3.8,42
0.78,298,1,1,0,0,3.6,43
1.2,298,1,0.8,0.2,0,15.22,118
0.78,298,1,1,0,0,3.53,41
0.79,298,1,1,0,0,2.56,44
1.2,300,5,0.1,0.18,0.72,16.2,13
0.8,473,3,1,0,0,7.41,17
1.2,298,1,0.67,0.33,0,16.5,53
1.2,298,1.5,0.67,0.33,0,17,61
1.2,393,3,0.7,0.3,0,17.1,60
0.8,473,1,1,0,0,10.8,17
0.8,298,1,1,0,0,2.06,39
1.2,423,1,0.95,0.05,0,17.5,57
0.8,298,1,1,0,0,2.39,47
1.2,443,5,0.7,0.3,0,17.7,60
0.8,400,5,1,0,0,3.88,50
1.2,298,3,0.6,0.4,0,17.9,56
1.2,298,1,0.67,0.33,0,18,61
0.8,400,3,1,0,0,4.08,50
0.8,500,5,1,0,0,7.44,50
1.2,298,1,0.7,0.3,0,19,60
1.2,298,1,0.7,0.3,0,19.27,62
1.2,473,3,0.9,0.1,0,19.8,17
1.2,298,1,0.7,0.3,0,20,57
1.2,473,1,0.95,0.05,0,21.1,17
1.2,298,1,0.65,0.35,0,21.1,55
0.8,500,3,1,0,0,8.7,50
1.2,473,1,0.95,0.05,0,21.2,57
1.2,298,1,0.7,0.3,0,21.22,118
1.2,443,3,0.7,0.3,0,21.8,60
0.8,500,1,1,0,0,11.06,50
0.8,298,1,1,0,0,3.14,53
0.8,423,1,1,0,0,8.3,57
0.8,473,1,1,0,0,10.8,57
0.8,298,1,1,0,0,2.4,61
0.8,298,1,1,0,0,3.71,62
1.2,323,1,0.7,0.3,0,24.2,57
1.2,473,1,0.9,0.1,0,24.8,17
1.2,343,1,0.7,0.3,0,25,60
0.8,360,1,1,0,0,5.75,62
1.2,360,1,0.7,0.3,0,25.58,62
1.2,300,1,0.3,0.14,0.56,26.36,13
1.2,298,1,0.6,0.4,0,26.7,55
1.2,298,1,0.6,0.4,0,27.1,58
1.2,298,1,0.6,0.4,0,27.2,15
1.2,298,1,0.6,0.4,0,28,56
0.8,423,1,1,0,0,9.65,62
1.2,298,1,0.6,0.4,0,29,57
1.2,393,1,0.7,0.3,0,29,60
1.2,373,1,0.7,0.3,0,29.1,57
1.2,298,1,0.6,0.4,0,29.46,118
1.2,300,1,0.2,0.16,0.64,30.6,13
1.2,298,1,0,0.2,0.8,31.72,98
0.8,298,1,1,0,0,2.44,118
0.8,313.15,1,1,0,0,3.65,122
0.8,333.15,1,1,0,0,4.74,122
0.8,353.15,1,1,0,0,6.01,122
0.8,373.15,1,1,0,0,7.15,122
0.8,298,3,1,0,0,2.99,124
0.8,298,2.5,1,0,0,3,124
0.8,298,2,1,0,0,3.22,124
0.8,298,1.5,1,0,0,3.34,124
1.2,298,1.5,0.5,0.5,0,33,61
0.8,298,1,1,0,0,3.42,124
0.81,298,1,1,0,0,3.4,44
1.2,473,1,0.8,0.2,0,33.5,17
0.81,298,1,1,0,0,3.09,44
0.82,298,1,1,0,0,3.63,44
1.2,300,1,0,0.08,0.92,33.79,98
0.82,298,1,1,0,0,3.75,44
0.84,298,1,1,0,0,4.24,41
1.2,423,1,0.7,0.3,0,34.28,62
0.84,298,1,1,0,0,4.01,43
1.2,323,1,0.6,0.4,0,34.9,57
0.84,298,1,1,0,0,3.53,44
1.2,300,1,0.1,0.18,0.72,35.03,13
0.85,298,1,1,0,0,2.95,55
1.2,298,1,0,0.05,0.95,35.43,74
0.87,298,1,1,0,0,4.11,44
0.88,298,1,1,0,0,4.48,40
1.2,297,1,0,0.1,0.9,35.68,74
1.2,303,1,0,0.1,0.9,35.73,74
1.2,300,1,0,0.14,0.86,35.85,74
1.2,298,2,0.5,0.5,0,35.9,59
1.2,443,1,0.7,0.3,0,36,60
1.2,298,1,0.5,0.5,0,36,61
1.2,298,1,0,0.1,0.9,36,74
0.88,298,1,1,0,0,4.21,44
1.2,298,1,0,0.1,0.9,36.14,74
0.88,298,1,1,0,0,5.26,42
0.89,298,1,1,0,0,4.52,44
1.2,300,1,0,0.1,0.9,36.21,125
0.89,298,1,1,0,0,4.99,41
0.89,298,1,1,0,0,5.1,44
0.9,298,1,1,0,0,4.8,44
1.2,298,1,0,0.05,0.95,37.4,74
1.2,300,1,0,0.2,0.8,37.44,74
1.2,298,1,0,0.2,0.8,37.56,74
1.2,423,1,0.7,0.3,0,37.8,57
1.2,298,1,0,0.15,0.85,37.9,119
1.2,308,1,0,0.1,0.9,38.01,119
1.2,308,1,0,0.1,0.9,38.02,119
1.2,298,1.5,0.5,0.5,0,38.4,59
0.9,298,1,1,0,0,5.21,44
1.2,298,1,0,0.2,0.8,38.68,15
1.2,298,1,0,0.2,0.8,39.36,112
1.2,298,1,0,0.2,0.8,39.43,112
1.2,318,1,0,0.1,0.9,39.63,112
1.2,318,1,0,0.1,0.9,39.79,112
1.2,298,1,0,0.2,0.8,40.31,112
1.2,300,1,0,0.2,0.8,40.73,125
1.2,300,1,0,0.2,0.8,41.16,101
0.9,298,1,1,0,0,4.24,15
1.2,300,1,0,0.3,0.7,41.47,125
0.9,298,1,1,0,0,4.29,15
1.2,328,1,0,0.1,0.9,42.05,83
1.2,308,1,0,0.2,0.8,42.05,83
0.9,298,1,1,0,0,4.56,17
1.2,308,1,0,0.2,0.8,42.24,83
1.2,328,1,0,0.1,0.9,42.28,83
0.9,473,3,1,0,0,9.35,17
1.2,298,1,0,0.1,0.9,42.8,83
1.2,298,1,0,0.2,0.8,42.8,83
0.9,473,1,1,0,0,12.9,17
1.2,298,1,0,0.35,0.65,43.07,112
1.2,318,1,0,0.2,0.8,44.17,112
1.2,373,1,0.6,0.4,0,44.2,57
1.2,318,1,0,0.2,0.8,44.2,112
1.2,298,1,0,0.3,0.7,44.49,112
1.2,298,1,0.5,0.5,0,44.5,59
1.2,298,1,0,0.3,0.7,44.61,112
1.2,298,1,0.5,0.5,0,44.68,118
1.2,298,3,0.4,0.6,0,44.7,56
1.2,296.9,1,0,0.3,0.7,44.77,112
0.9,298,5,1,0,0,2.57,39
0.9,298,3,1,0,0,2.9,39
1.2,298,1,0.5,0.5,0,45.2,57
1.2,343,1,0,0.1,0.9,45.41,101
0.9,298,1,1,0,0,4.07,39
1.2,343,1,0,0.1,0.9,45.81,112
0.9,298,1,1,0,0,5.9,43
0.9,298,1,1,0,0,5.51,45
1.2,328,1,0,0.2,0.8,46.49,112
1.2,328,1,0,0.2,0.8,46.58,112
1.2,473,1,0.7,0.3,0,46.8,17
1.2,473,1,0.7,0.3,0,46.8,57
1.2,350,1,0,0.1,0.9,46.89,112
1.2,308,1,0,0.3,0.7,47.29,112
1.2,308,1,0,0.3,0.7,47.66,112
1.2,298,1,0,0.35,0.65,47.78,112
1.2,298,1,0,0.35,0.65,48.01,112
0.9,298,1,1,0,0,4.36,47
0.9,295,1,1,0,0,5.01,48
0.9,303,1,1,0,0,4.36,49
1.2,298,1,0,0.3,0.7,49,112
1.2,300,1,0,0.4,0.6,49.03,125
1.2,358,1,0,0.1,0.9,49.18,112
1.2,358,1,0,0.1,0.9,49.27,112
1.2,318,1,0,0.3,0.7,49.31,112
1.2,360,1,0,0.1,0.9,49.58,101
1.2,318,1,0,0.3,0.7,49.67,112
0.9,400,5,1,0,0,5.51,50
1.2,343,1,0,0.2,0.8,50.25,88
1.2,298,1,0,0.4,0.6,50.27,88
1.2,298,1,0,0.4,0.6,50.4,88
1.2,323,1,0.5,0.5,0,50.5,57
1.2,343,1,0,0.2,0.8,50.75,88
0.9,400,3,1,0,0,6.36,50
0.9,500,5,1,0,0,9.9,50
1.2,373.06,1,0,0.1,0.9,52.8,96
1.2,373,1,0,0.1,0.9,52.81,96
1.2,358,1,0,0.2,0.8,53.75,96
1.2,358,1,0,0.2,0.8,54.13,96
1.2,298,1,0,0.4,0.6,54.91,15
1.2,423,1,0.6,0.4,0,55.8,57
1.2,300,1,0,0.5,0.5,56.7,125
1.2,373,1,0,0.2,0.8,57.65,97
1.2,298,1,0.4,0.6,0,58,61
1.2,373,1,0,0.2,0.8,58.22,103
1.2,350,1,0,0.3,0.7,58.77,103
1.2,300,1,0,0.5,0.5,58.88,103
1.2,300,1,0,0.5,0.5,59.17,103
0.9,400,1,1,0,0,10.4,50
0.9,500,3,1,0,0,11.62,50
1.2,358,1,0,0.3,0.7,60.2,103
1.2,403,1,0,0.1,0.9,60.2,103
1.2,358,1,0,0.3,0.7,60.34,103
1.2,403.25,1,0,0.1,0.9,60.59,103
1.2,298,1,0,0.5,0.5,60.66,103
1.2,387.54,1,0,0.2,0.8,62,103
1.2,388,1,0,0.2,0.8,62.22,103
1.2,424,1,0.1,0.18,0.72,63.21,14
1.2,298,1,0.4,0.6,0,64,56
1.2,303,1,0,0.5,0.5,64.4,103
0.9,500,1,1,0,0,13.86,50
1.2,433,1,0.1,0.18,0.72,65.55,14
1.2,373,1,0.5,0.5,0,65.7,57
1.2,298,1,0.4,0.6,0,65.76,118
1.2,298,1,0,0.5,0.5,66,103
0.9,298,1,1,0,0,5.53,53
1.2,298,1,0.4,0.6,0,67.5,57
1.2,298,1,0,0.5,0.5,67.99,105
0.8,440,1,0,0,1,56.46,93
0.9,298,1,1,0,0,4.17,55
1.2,473,1,0.6,0.4,0,69,57
1.2,450,1,0.1,0.18,0.72,70.68,14
1.2,516,1,0.3,0.14,0.56,71.48,14
0.9,440,1,0,0,1,69.12,93
1.2,440,1,0,0.1,0.9,73.53,109
1.2,298,1,0.33,0.67,0,74,61
1.2,423,1,0.5,0.5,0,76.9,57
1.2,323,1,0.4,0.6,0,76.9,57
1.2,473,1,0.1,0.18,0.72,77.45,14
1.2,360,1,0,0.5,0.5,80.04,109
1.2,298,1,0,0.6,0.4,80.3,109
1.2,350,1,0,0.5,0.5,80.57,109
1.2,360,1,0,0.5,0.5,80.85,109
1.2,550,1,0.3,0.14,0.56,81.31,13
1.2,563,1,0.3,0.14,0.56,84.11,14
1.2,495,1,0.1,0.18,0.72,84.26,14
1.2,525,1,0.2,0.16,0.64,86.39,14
1.2,570,1,0.3,0.14,0.56,86.43,14
1.2,501,1,0.1,0.18,0.72,86.49,14
1.2,750,5,0.3,0.14,0.56,88.94,13
1.2,537,1,0.2,0.16,0.64,89.97,14
1.2,373,1,0,0.5,0.5,93.3,109
1.2,523,1,0.1,0.18,0.72,93.44,14
0.9,298,1,1,0,0,4.56,57
1.2,593,1,0.3,0.14,0.56,93.51,14
1.2,373,1,0.4,0.6,0,93.7,57
1.2,554,1,0.2,0.16,0.64,95.3,14
1.2,298,1,0,0.67,0.33,95.5,113
1.2,536,1,0.1,0.18,0.72,98.2,14
1.2,563,1,0.2,0.16,0.64,98.24,14
1.2,612,1,0.3,0.14,0.56,98.48,14
1.2,473,1,0.5,0.5,0,98.9,57
0.9,323,1,1,0,0,5.29,57
1.2,624,1,0.3,0.14,0.56,102,14
1.2,750,5,0.2,0.16,0.64,102.52,13
1.2,579,1,0.2,0.16,0.64,103.25,14
1.2,634,1,0.3,0.14,0.56,104.73,14
1.2,555,1,0.1,0.18,0.72,104.82,14
1.2,642,1,0.3,0.14,0.56,107.61,14
1.2,593,1,0.2,0.16,0.64,108.23,14
1.2,598,1,0.2,0.16,0.64,109.64,14
1.2,573,1,0.1,0.18,0.72,111.38,14
1.2,662,1,0.3,0.14,0.56,114.42,14
1.2,613,1,0.2,0.16,0.64,114.87,14
1.2,423,1,0.4,0.6,0,116,57
1.2,621,1,0.2,0.16,0.64,117.73,14
1.2,594,1,0.1,0.18,0.72,118.65,14
1.2,550,1,0,0.2,0.8,119.3,125
1.2,750,5,0.1,0.18,0.72,119.49,13
1.2,350,1,0,0.7,0.3,119.53,113
1.2,679,1,0.3,0.14,0.56,119.84,14
1,440,1,0,0,1,75.92,93
1.2,440,1,0,0.5,0.5,122.77,113
1.2,605,1,0.1,0.18,0.72,123.18,14
1.2,639,1,0.2,0.16,0.64,124.06,14
1.2,703,1,0.3,0.14,0.56,127.15,14
1.2,618,1,0.1,0.18,0.72,128.12,14
1.2,661,1,0.2,0.16,0.64,132.19,14
1.2,630,1,0.1,0.18,0.72,132.85,14
1.2,729,1,0.3,0.14,0.56,136.44,14
1.2,676,1,0.2,0.16,0.64,137.71,14
